last_changed,binary_sensor.bayesianbinary,binary_sensor.bedroom_motion_sensor,binary_sensor.blink_armed_status,binary_sensor.blink_blink_camera_percy_motion_enabled,binary_sensor.hall_motion_sensor,binary_sensor.in_bed_bayesian,binary_sensor.living_room_motion_sensor,binary_sensor.living_room_nest_protect_online,binary_sensor.motion_at_home,binary_sensor.workday_sensor
2017-07-23 07:17:47.413728,,,,False,,,,,,
2017-07-23 07:17:47.628748,,,False,,,,,,,
2017-07-23 07:17:51.072079,,,,,,,False,,,
2017-07-23 07:20:25.064915,,,,,,,True,,,
2017-07-23 07:20:34.068031,,,,,,,False,,,
2017-07-23 07:21:15.067280,,,,,,,True,,,
2017-07-23 07:21:25.054566,,,,,,,False,,,
2017-07-23 07:21:29.052110,,,,,,,True,,,
2017-07-23 07:21:38.051935,,,,,,,False,,,
2017-07-23 07:21:50.053478,,,,,,,True,,,
2017-07-23 07:21:59.054365,,,,,,,False,,,
2017-07-23 07:23:35.051437,,,,,,,True,,,
2017-07-23 07:23:42.112387,,,,,True,,,,,
2017-07-23 07:23:50.066922,,,,,,,False,,,
2017-07-23 07:23:52.234585,,,,,False,,,,,
2017-07-23 07:24:45.123753,,,,,True,,,,,
2017-07-23 07:25:00.126438,,,,,False,,,,,
2017-07-23 07:25:40.054070,,,,,,,True,,,
2017-07-23 07:25:42.080958,,True,,,,,,,,
2017-07-23 07:25:53.054371,,,,,,,False,,,
2017-07-23 07:25:55.208351,,False,,,,,,,,
2017-07-23 07:31:36.067031,,,,,,,True,,,
2017-07-23 07:31:37.083843,,True,,,,,,,,
2017-07-23 07:31:48.096601,,False,,,,,,,,
2017-07-23 07:31:53.096313,,True,,,,,,,,
2017-07-23 07:32:05.229828,,False,,,,,,,,
2017-07-23 07:32:09.109149,,,,,True,,,,,
2017-07-23 07:32:17.066625,,,,,,,False,,,
2017-07-23 07:32:22.127128,,,,,False,,,,,
2017-07-23 07:34:23.051531,,,,,,,True,,,
2017-07-23 07:34:34.053253,,,,,,,False,,,
2017-07-23 07:35:20.125274,,,,,True,,,,,
2017-07-23 07:35:34.078372,,,,,False,,,,,
2017-07-23 07:35:58.108604,,,,,True,,,,,
2017-07-23 07:36:05.053157,,,,,,,True,,,
2017-07-23 07:36:09.080535,,True,,,,,,,,
2017-07-23 07:36:11.236573,,,,,False,,,,,
2017-07-23 07:36:28.150597,,,,,False,,,,,
2017-07-23 07:36:28.169889,,,,,,,False,,,
2017-07-23 07:36:28.213345,,False,,,,,,,,
2017-07-23 07:36:28.681516,,,,,,,,,,False
2017-07-23 07:36:29.779636,,,,,,,,True,,
2017-07-23 07:36:31.202098,,,,False,,,,,,
2017-07-23 07:36:31.484415,,,False,,,,,,,
